ID,Composition,Space group number,a,b,c,alpha,beta,gamma,Ionic conductivity (S cm-1),DOI,CIF
6st,Li7.2Fe1.2Ti10.8P18.0O72.0,167,8.5213,8.5213,20.8648,90.0,90.0,120.0,0.00018,10.1149/1.2086597,No Match
t9r,Li7.8Fe1.8Ti10.2P18.0O72.0,167,8.5262,8.5262,20.865,90.0,90.0,120.0,0.000246,10.1149/1.2086597,No Match
xr7,Li8.4Fe2.4Ti9.6P18.0O72.0,167,8.5301,8.5301,20.8889,90.0,90.0,120.0,0.000392,10.1149/1.2086597,No Match
pg8,Li9.0Fe3.0Ti9.0P18.0O72.0,167,8.5367,8.5367,20.8932,90.0,90.0,120.0,0.000174,10.1149/1.2086597,Close Match
1wm,Li7.2Sc1.2Ti10.8P18.0O72.0,167,8.5482,8.5482,20.9418,90.0,90.0,120.0,0.00069,10.1149/1.2086597,No Match
do2,Li7.8Sc1.8Ti10.2P18.0O72.0,167,8.5645,8.5645,20.985,90.0,90.0,120.0,0.000703,10.1149/1.2086597,No Match
uaj,Li8.4Sc2.4Ti9.6P18.0O72.0,167,8.5651,8.5651,20.9948,90.0,90.0,120.0,0.000515,10.1149/1.2086597,No Match
5u3,Li7.2In1.2Ti10.8P18.0O72.0,167,8.544,8.544,20.948,90.0,90.0,120.0,0.00039,10.1149/1.2086597,No Match
2eq,Li7.8In1.8Ti10.2P18.0O72.0,167,8.5495,8.5495,20.9586,90.0,90.0,120.0,0.000393,10.1149/1.2086597,No Match
yn6,Li8.4In2.4Ti9.6P18.0O72.0,167,8.5626,8.5626,21.0066,90.0,90.0,120.0,0.000302,10.1149/1.2086597,No Match
8jy,Li9.0In3.0Ti9.0P18.0O72.0,167,8.5695,8.5695,21.0089,90.0,90.0,120.0,0.000204,10.1149/1.2086597,No Match
p4l,Li7.2La1.2Ti10.8P18.0O72.0,167,8.5117,8.5117,20.8537,90.0,90.0,120.0,8e-05,10.1149/1.2086597,No Match
qkr,Li7.8La1.8Ti10.2P18.0O72.0,167,8.5119,8.5119,20.8513,90.0,90.0,120.0,0.000523,10.1149/1.2086597,No Match
e0z,Li8.4La2.4Ti9.6P18.0O72.0,167,8.5108,8.5108,20.8492,90.0,90.0,120.0,0.000498,10.1149/1.2086597,No Match
vus,Li9.0La3.0Ti9.0P18.0O72.0,167,8.5218,8.5218,20.8621,90.0,90.0,120.0,0.000281,10.1149/1.2086597,No Match
yp3,Li6.0Ti12.0P18.0O72.0,167,8.5087,8.5087,20.9089,90.0,90.0,120.0,6e-05,10.1016/j.ssi.2014.07.018,No Match
tzl,Li6.3Al0.3Ti11.7P18.0O72.0,167,8.5066,8.5066,20.9085,90.0,90.0,120.0,0.0011,10.1016/j.ssi.2014.07.018,No Match
hyj,Li6.6Al0.6Ti11.4P18.0O72.0,167,8.5068,8.5068,20.8905,90.0,90.0,120.0,0.00067,10.1016/j.ssi.2014.07.018,No Match
mg4,Li7.8Al1.8Ti10.2P18.0O72.0,167,8.4941,8.4941,20.8586,90.0,90.0,120.0,0.0062,10.1016/j.ssi.2014.07.018,Close Match
50s,Li8.4Al2.4Ti9.6P18.0O72.0,167,8.4882,8.4882,20.8571,90.0,90.0,120.0,0.0033,10.1016/j.ssi.2014.07.018,No Match
d4q,Li6.3Cr0.3Ti11.7P18.0O72.0,167,8.5093,8.5093,20.915,90.0,90.0,120.0,0.00018,10.1016/j.ssi.2014.07.018,No Match
6he,Li6.6Cr0.6Ti11.4P18.0O72.0,167,8.5126,8.5126,20.9212,90.0,90.0,120.0,0.00026,10.1016/j.ssi.2014.07.018,No Match
pwy,Li7.2Cr1.2Ti10.8P18.0O72.0,167,8.5132,8.5132,20.9271,90.0,90.0,120.0,0.00043,10.1016/j.ssi.2014.07.018,No Match
y9l,Li7.8Cr1.8Ti10.2P18.0O72.0,167,8.5183,8.5183,20.9177,90.0,90.0,120.0,0.00029,10.1016/j.ssi.2014.07.018,No Match
rc1,Li6.3Fe0.3Ti11.7P18.0O72.0,167,8.5125,8.5125,20.8871,90.0,90.0,120.0,0.00013,10.1016/j.ssi.2014.07.018,No Match
lzt,Li6.6Fe0.6Ti11.4P18.0O72.0,167,8.5137,8.5137,20.8822,90.0,90.0,120.0,0.00063,10.1016/j.ssi.2014.07.018,No Match
kbp,Li7.2Fe1.2Ti10.8P18.0O72.0,167,8.5213,8.5213,20.9211,90.0,90.0,120.0,0.0014,10.1016/j.ssi.2014.07.018,No Match
b9u,Li7.8Fe1.8Ti10.2P18.0O72.0,167,8.5239,8.5239,20.9215,90.0,90.0,120.0,0.0023,10.1016/j.ssi.2014.07.018,No Match
9zr,Li24.0P4.0S20.0Br4.0,216,9.9773,9.9773,9.9773,90.0,90.0,90.0,0.000701,10.1039/c7ta08581h,Match
a8v,Li24.1P3.9Si0.1S20.0Br4.0,216,9.9819,9.9819,9.9819,90.0,90.0,90.0,0.000878,10.1039/c7ta08581h,Match
09w,Li24.2P3.8Si0.2S20.0Br4.0,216,9.9871,9.9871,9.9871,90.0,90.0,90.0,0.000437,10.1039/c7ta08581h,Match
x2v,Li24.3P3.7Si0.3S20.0Br4.0,216,9.9938,9.9938,9.9938,90.0,90.0,90.0,0.000873,10.1039/c7ta08581h,Match
bnh,Li24.4P3.8Si0.4S20.0Br4.0,216,10.0024,10.0024,10.0024,90.0,90.0,90.0,0.000799,10.1039/c7ta08581h,Match
x9d,Li24.5P3.5Si0.5S20.0Br4.0,216,10.0098,10.0098,10.0098,90.0,90.0,90.0,0.000902,10.1039/c7ta08581h,Match
ish,Li24.7P3.3Si0.7S20.0Br4.0,216,10.0193,10.0193,10.0193,90.0,90.0,90.0,0.000931,10.1039/c7ta08581h,Match
iiy,Li24.8P3.2Si0.8S20.0Br4.0,216,10.024,10.024,10.024,90.0,90.0,90.0,0.00169,10.1039/c7ta08581h,Match
3zo,Li24.9P3.1Si0.9S20.0Br4.0,216,10.0315,10.0315,10.0315,90.0,90.0,90.0,0.00108,10.1039/c7ta08581h,Match
vj7,Li25.0P3.0Si1.0S20.0Br4.0,216,10.0365,10.0365,10.0365,90.0,90.0,90.0,0.00141,10.1039/c7ta08581h,Match
wsd,Li25.2P2.8Si1.2S20.0Br4.0,216,10.0521,10.0521,10.0521,90.0,90.0,90.0,0.00165,10.1039/c7ta08581h,Match
10s,Li25.4P2.6Si1.4S20.0Br4.0,216,10.0468,10.0468,10.0468,90.0,90.0,90.0,0.00234,10.1039/c7ta08581h,Match
fkj,Li26.0P2.0Si2.0S20.0Br4.0,216,10.0521,10.0521,10.0521,90.0,90.0,90.0,0.00219,10.1039/c7ta08581h,Match
nig,Li24.0P4.0S20.0Br4.0,216,9.988,9.988,9.988,90.0,90.0,90.0,0.00277,10.1021/acs.inorgchem.8b02443,Match
z16,Li24.0P4.0S19.6Se0.4Br4.0,216,9.9902,9.9902,9.9902,90.0,90.0,90.0,0.0032,10.1021/acs.inorgchem.8b02443,Match
hbz,Li24.0P4.0S19.2Se0.8Br4.0,216,9.9946,9.9946,9.9946,90.0,90.0,90.0,0.00392,10.1021/acs.inorgchem.8b02443,Match
uut,Li24.0P4.0S18.8Se1.2Br4.0,216,9.9974,9.9974,9.9974,90.0,90.0,90.0,0.00362,10.1021/acs.inorgchem.8b02443,Match
cju,Li24.0P4.0S18.4Se1.6Br4.0,216,10.0079,10.0079,10.0079,90.0,90.0,90.0,0.00364,10.1021/acs.inorgchem.8b02443,Match
d9l,Li24.0P4.0S18.0Se2.0Br4.0,216,10.0176,10.0176,10.0176,90.0,90.0,90.0,0.00268,10.1021/acs.inorgchem.8b02443,Match
96f,Li24.0P4.0S17.6Se2.4Br4.0,216,10.0259,10.0259,10.0259,90.0,90.0,90.0,0.00278,10.1021/acs.inorgchem.8b02443,Match
1kq,Li24.0P4.0S17.2Se2.8Br4.0,216,10.0265,10.0265,10.0265,90.0,90.0,90.0,0.00301,10.1021/acs.inorgchem.8b02443,Match
c6e,Li24.0P4.0S16.8Se3.2Br4.0,216,10.0332,10.0332,10.0332,90.0,90.0,90.0,0.00348,10.1021/acs.inorgchem.8b02443,Match
t2c,Li24.0P4.0S16.4Se3.6Br4.0,216,10.0418,10.0418,10.0418,90.0,90.0,90.0,0.00382,10.1021/acs.inorgchem.8b02443,Match
dlj,Li24.0P4.0S16.0Se4.0Br4.0,216,10.0522,10.0522,10.0522,90.0,90.0,90.0,0.00361,10.1021/acs.inorgchem.8b02443,Match
5wz,Li24.0P4.0S20.0I4.0,216,10.1452,10.1452,10.1452,90.0,90.0,90.0,1.26e-06,10.1021/jacs.8b10282,Close Match
5gj,Li24.4P3.6Ge0.4S20.0I4.0,216,10.1669,10.1669,10.1669,90.0,90.0,90.0,8.86e-06,10.1021/jacs.8b10282,No Match
t17,Li24.6P3.4Ge0.6S20.0I4.0,216,10.1805,10.1805,10.1805,90.0,90.0,90.0,3.93e-05,10.1021/jacs.8b10282,No Match
kf7,Li24.8P3.2Ge0.8S20.0I4.0,216,10.1847,10.1847,10.1847,90.0,90.0,90.0,3.19e-05,10.1021/jacs.8b10282,No Match
utv,Li25.0P3.0Ge1.0S20.0I4.0,216,10.1931,10.1931,10.1931,90.0,90.0,90.0,0.00015,10.1021/jacs.8b10282,No Match
q9f,Li25.2P2.8Ge1.2S20.0I4.0,216,10.2058,10.2058,10.2058,90.0,90.0,90.0,0.00065,10.1021/jacs.8b10282,No Match
5qw,Li25.6P2.4Ge1.6S20.0I4.0,216,10.2297,10.2297,10.2297,90.0,90.0,90.0,0.0015,10.1021/jacs.8b10282,No Match
znj,Li26.0P2.0Ge2.0S20.0I4.0,216,10.2431,10.2431,10.2431,90.0,90.0,90.0,0.00186,10.1021/jacs.8b10282,No Match
pa1,Li26.4P1.6Ge2.4S20.0I4.0,216,10.2431,10.2431,10.2431,90.0,90.0,90.0,0.00521,10.1021/jacs.8b10282,Close Match
lxk,Li26.8P1.2Ge2.8S20.0I4.0,216,10.2851,10.2851,10.2851,90.0,90.0,90.0,0.00554,10.1021/jacs.8b10282,Match
1m8,Li27.2P0.8Ge3.2S20.0I4.0,216,10.2998,10.2998,10.2998,90.0,90.0,90.0,0.00258,10.1021/jacs.8b10282,Match
