DOI,entry_count,Title
10.1039/c3cp50991e,5,structure_and_li_dynamics_of_sb-doped_li7la3zr2o12_fast_lithium_ion_conductors
10.1016/j.ssi.2012.03.045,5,ionic_conductivity_of_li1_3al0_3_xscxti1_7_po4_3_x_0_0_1_0_15_0_2_0_3_solid_electrolytes_prepared_by_pechini_process
10.1016/s0167-2738(00)00761-x,5,influence_of_composition_on_the_structure_and_conductivity_of_the_fast_ionic_conductors_la2_3_xli3xtio3_0_03_x_0_167
10.3389/fenrg.2016.00028,5,development_of_lithium-stuffed_garnet-type_oxide_solid_electrolytes_with_high_ionic_conductivity_for_application_to_all-solid-state_batteries
10.1111/j.1551-2916.2005.00060.x,5,li_6_ala_2_nb_2_o_12_a_ca_sr_ba_a_new_class_of_fast_lithium_ion_conductors_with_garnet_like_structure
10.1021/cm001207u,4,lithium_ion_conductivity_in_new_perovskite_oxides_ag_i_y_i_li_1_-_i_y_i_3_i_x_i_la_2_3_-_i_x_i_1_3_-_2_i_x_i_tio_3_i_x_i_0_09_and_0_i_y_i_1
10.1016/j.jeurceramsoc.2014.11.023,4,high_lithium_ion_conducting_solid_electrolytes_based_on_nasicon_li_1_x_al_x_m_2_x_po_4_3_materials_m_ti_ge_and_0_x_0_5
10.1016/j.jallcom.2017.05.278,4,study_of_the_la_1_2_1_2x_li_1_2-1_2x_ti_1-x_al_x_o_3_0_x_1_solid_solution_a_new_example_of_percolative_system_in_fast_ion_conductors
10.1016/j.ssi.2015.10.016,4,search_for_li-electrochemical_activity_and_li-ion_conductivity_among_lithium_bismuth_oxides
10.1021/acs.chemmater.7b05108,4,correlation_of_structure_and_fast_ion_conductivity_in_the_solid_solution_series_li_1_2_i_x_i_zn_1_i_x_i_ps_4
10.1021/acs.chemmater.7b05139,4,polymorphism_in_li_4_zn_po_4_2_and_stabilization_of_its_structural_disorder_to_improve_ionic_conductivity
10.1039/c4ta05231e,4,synthesis_structure_and_conduction_mechanism_of_the_lithium_superionic_conductor_li_10_ge_1_p_2_s_12
10.1021/am503731h,4,effect_of_simultaneous_substitution_of_y_and_ta_on_the_stabilization_of_cubic_phase_microstructure_and_li_conductivity_of_li_7_la_3_zr_2_o_12_lithium_garnet
10.1021/acs.chemmater.8b00266,4,bottleneck_of_diffusion_and_inductive_effects_in_li_10_ge_1_i_x_i_sn_i_x_i_p_2_s_12
10.1021/jacs.0c10735,4,evidence_for_a_solid-electrolyte_inductive_effect_in_the_superionic_conductor_li_10_ge_1_p_2_s_12
10.1039/a800234g,4,crystal_chemistry_and_physical_properties_of_complex_lithium_spinels_li2mm_3o8_m_mg_co_ni_zn_m_ti_ge
10.1021/am4060194,4,dependence_of_the_li-ion_conductivity_and_activation_energies_on_the_crystal_structure_and_ionic_radii_in_li_6_mla_2_ta_2_o_12_sub
10.1016/j.ssi.2004.05.010,3,the_relationship_between_li_ion_conductivity_and_crystal_structure_for_ordered_perovskite_compounds_la2_3_1_3li_mg1_2w1_2_o3_p_0_05_0_11_and_0_14
10.1007/s12039-011-0068-5,3,synthesis_structure_and_ionic_conductivity_in_scheelite_type_li0_5ce0_5_x_ln_x_moo4_x_0_and_0_25_ln_pr_sm
10.1016/s0167-2738(98)00414-7,3,lithium_ion_conduction_in_a-site_deficient_perovskites_r1_4li1_4tao3_r_la_nd_sm_and_y
10.1149/2.1111610jes,3,crystal_structure_and_li-ion_conductivity_of_liga_1_i_x_i_al_i_x_i_geo_4_phenacite_compounds_with_0_i_x_i_1
10.1016/j.ssi.2012.05.011,3,structure_and_broadband_impedance_spectroscopy_of_li1_3alyyx_yti1_7_po4_3_x_0_3_y_0_1_0_2_solid_electrolyte_ceramics
10.1016/j.jpowsour.2012.01.131,3,effect_of_substitution_ta_al_ga_on_the_conductivity_of_li7la3zr2o12
10.1039/b301189e,3,synthesis_structure_and_lithium-ion_conductivity_of_li_2_2x_mg_2_x_moo_4_3_and_li_3_m_moo_4_3_m_iii_cr_fe
10.1016/j.ssi.2015.09.001,3,lithium_ion_conduction_in_doped_lalio2_system
10.1002/pssa.201001117,3,studies_of_lithium_argyrodite_solid_electrolytes_for_all_solid_state_batteries
10.1021/acs.chemmater.7b00886,3,superionic_conductors_li_10_sn_i_y_i_si_1_i_y_i_1_p_2_s_12_with_a_li_10_gep_2_s_12_-type_structure_in_the_li_3_ps_4_li_4_sns_4_li_4_sis_4_quasi-ternary_system
10.1016/0167-2738(94)90310-7,3,high_lithium_ion_conductivity_in_the_perovskite-type_compounds
10.1021/acs.chemmater.8b02759,3,lithium_phosphidogermanates_-_and_-li_8_gep_4_a_novel_compound_class_with_mixed_li_ionic_and_electronic_conductivity
10.1021/acsami.6b14402,3,enhancing_the_lithium_ion_conductivity_in_lithiumerionic_conductor_lisicon_solid_electrolytes_through_a_mixed_polyanion_effect
10.1016/0167-2738(83)90223-0,3,structure_ionic_motion_and_conductivity_in_some_solid-solutions_of_the_liclmcl2_systems_m_mg_v_mn
10.1063/1.2357843,3,preparation_characterization_and_impedance_studies_of_lisbm_po4_3_m_al_fe_and_cr
10.1016/j.physb.2011.11.006,3,structure_microstructure_and_ionic_conductivity_of_the_solid_solution_liti2_xsnx_po4_3
10.1021/ic400577v,2,structural_factors_that_enhance_lithium_mobility_in_fast-ion_li_1_i_x_i_ti_2_i_x_i_al_i_x_i_po_4_3_0_i_x_i_0_4_conductors_investigated_by_neutron_diffraction_in_the_temperature_range_100_500_k
10.1006/jssc.1995.1140,2,synthesis_crystal_structure_and_ionic_conductivity_of_a_polycrystalline_lithium_phosphorus_oxynitride_with_the_-li3po4_structure
10.1016/j.ssi.2008.10.022,2,synthesis_and_crystallographic_studies_of_garnet-related_lithium-ion_conductors_li6cala2ta2o12_and_li6bala2ta2o12
10.1016/j.ssi.2008.01.047,2,synthesis_and_structural_characterisation_of_the_li_ion_conducting_garnet-related_systems_li6ala2nb2o12_a_ca_sr
10.1021/cm980736j,2,synthesis_crystal_structure_and_ionic_conductivity_of_novel_ruddlesden_popper_related_phases_li_4_sr_3_nb_5_77_fe_0_23_o_19_77_and_li_4_sr_3_nb_6_o_20_sub
10.1021/cm970078n,2,reversible_triclinic-rhombohedral_phase_transition_in_lihf_2_po_4_3_crystal_structures_from_neutron_powder_diffraction
10.1016/0167-2738(81)90021-7,2,li_ion_conduction_in_li2zro3_li4zro4_and_lisco2
10.1016/0025-5408(89)90053-6,2,synthesis_and_lithium_conductivities_of_li2sis3_and_li4sis4
10.1002/adfm.200400044,2,li_6_ala_2_ta_2_o_12_a_sr_ba_novel_garnet_like_oxides_for_fast_lithium_ion_conduction
10.1016/s0167-2738(02)00007-3,2,lithium_ion_conduction_in_lithium_magnesium_thio-phosphate
10.1002/chin.199345017,2,cheminform_abstract_the_electrical_properties_of_ceramic_electrolytes_for_limxti2_x_po4_3_yli2o_m_ge_sn_hf_and_zr_systems
10.1016/s0167-2738(96)00592-9,2,fast_ionic_conductivity_and_crystal_structure_of_spinel-type_li2_xmn1_xmxcl4_m_ga_in
10.1016/s0378-7753(97)02645-1,2,formation_of_perovskite_solid_solutions_and_lithium-ion_conductivity_in_the_compositions_li2xsr1_2xmiii0_5_xta0_5_xo3_m_cr_fe_co_al_ga_in_y
10.2320/matertrans.y-m2016816,2,synthesis_crystal_structure_and_the_ionic_conductivity_of_new_lithium_ion_conductors_lt_i_gt_m_lt_i_gt_-doped_lisco_lt_gt_2_lt_gt_lt_i_gt_m_lt_i_gt_zr_nb_ta
10.1021/acs.chemmater.6b02516,2,fast_li-ion-conducting_garnet-related_li_7_3_i_x_i_fe_i_x_i_la_3_zr_2_o_12_with_uncommon_i_i_i_4_3_i_d_i_structure
10.1021/acs.chemmater.8b03175,2,lithium_transport_in_li_4_4_i_m_i_0_4_i_m_i_0_6_s_4_m_al_3_ga_3_and_i_m_i_ge_4_sn_4_combined_crystallographic_conductivity_solid_state_nmr_and_computational_studies
10.4028/www.scientific.net/msf.321-324.965,2,x-ray_powder_diffraction_study_of_lilntio_lt_gt_4_lt_gt_ln_la_nd_a_lithium-ion_conductor
10.1002/aenm.201570062|10.1002/aenm.201500096,2,lithium_ion_batteries_a_tale_of_two_sites_on_defining_the_carrier_concentration_in_garnet_based_ionic_conductors_for_advanced_li_batteries_adv_energy_mater_11_2015
10.1002/adma.201803075,2,solid_halide_electrolytes_with_high_lithium_ion_conductivity_for_application_in_4_v_class_bulk_type_all_solid_state_batteries
10.1021/ja3110895,2,anomalous_high_ionic_conductivity_of_nanoporous_-li_3_ps_4_sub
10.1038/nenergy.2016.30,2,high-power_all-solid-state_batteries_using_sulfideerionic_conductors
10.1023/a:1026135806929,2,crystalline_structure_and_electroconductivity_of_solid_electrolytes_li3_75ge0_75v0_25o4_and_li3_70ge0_85w0_15o4
10.1007/s11164-013-1348-0,2,effect_of_fe3_doping_on_the_structure_and_conductivity_of_liti2_po4_3
10.1016/j.jssc.2005.12.025,2,effect_of_sintering_on_the_ionic_conductivity_of_garnet-related_structure_li5la3nb2o12_and_in-_and_k-doped_li5la3nb2o12
10.1039/a807007e,2,new_lithium-ion_conductors_based_on_the_nasicon_structure
10.1016/j.mseb.2007.07.009,2,structure_and_lithium_ion_conductivity_of_bismuth_containing_lithium_garnets_li5la3bi2o12_and_li6srla2bi2o12
10.1038/srep18053,2,synergistic_multi-doping_effects_on_the_li7la3zr2o12_solid_electrolyte_for_fast_lithium_ion_conduction
10.1016/0022-4596(87)90135-6,2,high-_and_low-temperature_phases_of_lithium_boron_nitride_li3bn2_preparation_phase_relation_crystal_structure_and_ionic_conductivity
10.1016/0025-5408(76)90169-0,2,lithium_ion_conduction_in_li5a104_li5gao4_and_li6zno4
10.1107/s2052520615022283,2,structure_property_relationships_in_lithiumerionic_conductors_having_a_li_10_gep_2_s_12_-type_structure
10.1016/j.jpowsour.2013.03.166,2,lithium_ion_transport_properties_of_high_conductive_tellurium_substituted_li7la3zr2o12_cubic_lithium_garnets
10.1007/s10008-012-1780-x,2,preparation_and_characterization_of_nasicon_type_li_ionic_conductors
10.1016/j.mseb.2004.07.003,2,structure_and_conductivity_of_b-site_substituted_li_la_tio3
10.1063/1.3356981,2,lithium-ion_conduction_in_complex_hydrides_lialh4_and_li3alh6
10.1016/j.materresbull.2007.10.035,2,structure_and_lithium_ion_conductivity_of_garnet-like_li5la3sb2o12_and_li6srla2sb2o12
10.1021/jacs.5b04444,2,structural_and_mechanistic_insights_into_fast_lithium-ion_conduction_in_li_4_sio_4_li_3_po_4_solid_electrolytes
10.1149/1.2096693,2,ionic_conductivity_of_the_lithium_titanium_phosphate_li1_x_m_x_ti2_x_po_4_3_m_al_sc_y_and_la_systems
10.1039/c8ta09170f,1,lita_2_po_8_a_fast_lithium-ion_conductor_with_new_framework_structure
10.1021/acsomega.8b00377,1,mechanochemically_prepared_li_2_s_p_2_s_5_libh_4_solid_electrolytes_with_an_argyrodite_structure
10.1021/cm010528i,1,dependence_of_ionic_conductivity_on_composition_of_fast_ionic_conductors_li_1_i_x_i_ti_2_-_i_x_i_al_i_x_i_po_4_3_0_i_x_i_0_7_a_parallel_nmr_and_electric_impedance_study
10.1140/epjst/e2008-00753-4,1,ion_transport_and_diffusion_in_nanocrystalline_and_glassy_ceramics
10.1021/acsami.6b03070,1,li-ion_conduction_and_stability_of_perovskite_li_3_8_sr_7_16_hf_1_4_ta_3_4_o_3_sub
10.1039/c3ee41655k|10.1016/j.ssi.2007.05.020|10.1016/j.ssi.2006.04.017,1,a_sulphide_lithiumer_ion_conductor_iserior_to_liquid_ion_conductors_for_use_in_rechargeable_batteries
10.1039/c3ee41728j,1,tetragonal_li10gep2s12_and_li7geps8_exploring_the_li_ion_dynamics_in_lgps_li_electrolytes
10.1021/acsenergylett.9b02599,1,high-voltageerionic_halide_solid_electrolytes_for_all-solid-state_li-ion_batteries
10.1107/s0567740877009443,1,crystal_structure_and_ionic_conductivity_of_li_boracites
10.1039/c3ta13252h,1,synthesis_conductivity_and_structural_aspects_of_nd3zr2li7_3xalxo12
10.1039/c3ta15087a,1,novel_li_3_clo_based_glasses_witherionic_properties_for_lithium_batteries
10.1039/c3ta15264b,1,crystal_structures_of_the_new_fluorophosphates_li9mg3_po4_4f3_and_li2mg_po4_f_and_ionic_conductivities_of_selected_compositions
10.1039/c4ta05231e|10.1021/acs.chemmater.7b00886,1,synthesis_structure_and_conduction_mechanism_of_the_lithiumerionic_conductor_li_10_ge_1_p_2_s_12_sub
10.3103/s1062873810050199,1,investigation_of_ion_transport_in_li8zro6_and_li6zr2o7_solid_electrolytes
10.1039/c5ta08545d,1,a_microcontact_impedance_study_on_nasicon-type_li_1_x_al_x_ti_2_x_po_4_3_0_x_0_5_single_crystals
10.1039/c6ee00633g,1,li_0_6_li_0_2_sn_0_8_s_2_a_layered_lithiumerionic_conductor
10.1021/acsami.8b17656,1,effects_of_fluorine_doping_on_structural_and_electrochemical_properties_of_li_6_25_ga_0_25_la_3_zr_2_o_12_as_electrolytes_for_solid-state_lithium_batteries
10.1021/ja407393y,1,li_10_snp_2_s_12_an_affordable_lithiumerionic_conductor
10.1039/C3DT52917G,1,synthesis_crystal_structure_and_lithium_ion_conduction_of_li_3_bp_2_o_8_sub
10.1039/c2dt31318a,1,effect_of_ga_incorporation_on_the_structure_and_li_ion_conductivity_of_la3zr2li7o12
10.1039/c1cp22108f,1,structure_and_dynamics_of_the_fast_lithium_ion_conductor_li7la3zr2o12
10.1021/ic201183e,1,lisbo_2_synthesis_structure_stability_and_lithium-ion_conductivity
10.1149/1.2133238,1,ionic_conductivity_of_solid_and_liquid_lialcl4
10.1021/ic030208w,1,new_insights_into_the_structural_and_dynamical_features_of_lithium_hexaoxometalates_li_7_mo_6_m_nb_ta_sb_bi
10.1021/jp973296c,1,relationship_between_activation_energy_and_bottleneck_size_for_li_ion_conduction_in_nasicon_materials_of_composition_limm_po_4_3_m_m_ge_ti_sn_hf
10.1021/cm703677q,1,switching_on_fast_lithium_ion_conductivity_in_garnets_the_structure_and_transport_properties_of_li_3_i_x_i_nd_3_te_2_i_x_i_sb_i_x_i_o_12_sub
10.1149/2.012206eel,1,li_-ion_conduction_of_li3alf6_mechanically_milled_with_licl
10.1021/cm5037524,1,fast_lithium_ion_conduction_in_li_2_sns_3_synthesis_physicochemical_characterization_and_electronic_structure
10.1021/cm400541n,1,lithium_chalcogenidotetrelates_licht_synthesis_and_characterization_of_new_li_ion_conducting_li_sn_se_compounds
10.1021/cm3011315,1,new_lithium_chalcogenidotetrelates_licht_synthesis_and_characterization_of_the_li_-conducting_tetralithium_i_ortho-_i_sulfidostannate_li_4_sns_4_sub
10.1021/cm300792t,1,lice_bh_4_3_cl_a_new_lithium-ion_conductor_and_hydrogen_storage_material_with_isolated_tetranuclear_anionic_clusters
10.1021/acsaem.0c00147,1,lattice_dynamical_approach_for_finding_the_lithiumerionic_conductor_li_3_eri_6_sub
10.1021/cm1006857,1,synthesis_and_lithium_fast-ion_conductivity_of_a_new_complex_hydride_li_3_nh_2_2_i_with_double-layered_structure
10.1149/2.0501412jes,1,empowering_the_lithium_metal_battery_through_a_silicon-basederionic_conductor
10.1021/cm060992t,1,structure_and_ionic-transport_properties_of_lithium-containing_garnets_li_3_ln_3_te_2_o_12_ln_y_pr_nd_sm_lu
10.1021/cm034802f,1,li_2_5_v_2_po_4_3_a_room-temperature_analogue_to_the_fast-ion_conducting_high-temperature_-phase_of_li_3_v_2_po_4_3_sub
10.1021/cm030422i,1,lithium_mobility_in_li_1_2_ti_1_8_r_0_2_po_4_3_compounds_r_al_ga_sc_in_as_followed_by_nmr_and_impedance_spectroscopy
10.1021/cm021717j,1,high_lithium_ionic_conductivity_in_the_li_1_i_x_i_al_i_x_i_ge_i_y_i_ti_2_-_i_x_i_-_i_y_i_po_4_3_nasicon_series
10.1038/nmat3066,1,a_lithiumerionic_conductor
10.1039/c0ee00052c,1,li_ion_conductivity_and_diffusion_mechanism_in_-li3n_and_-li3n
10.1021/ja302255d,1,li_14_ln_5_si_11_n_19_o_5_o_2_f_2_with_ln_ce_nd_representatives_of_a_family_of_potential_lithium_ion_conductors
10.1002/1521-3765(20020118)8:2<349::aid-chem349>3.0.co;2-5,1,synthesis_x-ray_and_neutron_diffraction_characterization_and_ionic_conduction_properties_of_a_new_oxothiomolybdate_li3_mo8s8o8_oh_8_hwo5_h2o_18_h2o
10.1021/acs.inorgchem.8b01785,1,impact_of_structural_polymorphism_on_ionic_conductivity_in_lithium_copper_pyroborate_li_6_cub_4_o_10_sub
10.1016/j.jssc.2008.01.023,1,synthesis_structure_and_ionic_conductivity_of_na5li3ti2s8
10.1016/0167-2738(85)90106-7,1,lithium_aluminum_nitride_li3aln2_as_a_lithium_solid_electrolyte
10.1016/0167-2738(87)90119-6,1,preparation_of_lithium_silicon_nitrides_and_their_lithium_ion_conductivity
10.1016/0167-2738(88)90291-3,1,lithium_ion_conductors_based_on_liti2p3o12_compound
10.1016/0167-2738(89)90438-4,1,preparation_structure_and_ionic_conductivity_of_lithium_phosphide
10.1016/0167-2738(94)90309-3,1,candidate_compounds_with_perovskite_structure_for_high_lithium_ionic_conductivity
10.1016/0167-2738(95)00240-5,1,bulk_and_grain_boundary_ionic_conduction_in_lithium_rare_earth-silicates_lilnsio4_ln_la_nd_sm_eu_gd_dy
10.1016/0925-8388(93)90192-p,1,structure_and_ionic_conductivity_of_mlanb2o7_m_k_na_li_h
10.1016/S0955-2219(99)00055-2,1,comparative_study_of_lithium_ion_conductors_in_the_system_li1_xalxa2_xiv_po4_3_with_aiv_ti_or_ge_and_0_x_0_7_for_use_as_li_sensitive_membranes
10.1016/j.elecom.2011.08.014,1,high_conductive_yttrium_doped_li7la3zr2o12_cubic_lithium_garnet
10.1016/j.jallcom.2013.04.195,1,on_the_la2_3_xli3xtio3_al2o3_composite_solid-electrolyte_for_li-ion_conduction
10.1016/j.jallcom.2015.01.082,1,hydrogen_absorption_and_lithium_ion_conductivity_in_li6nbr3
10.1016/j.jpowsour.2010.11.089,1,high_lithium_ionic_conductivity_in_the_garnet-type_oxide_li7_x_la3_zr2_x_nbx_o12_x_0_2
10.1016/j.jpowsour.2012.02.100,1,ionic_distribution_and_conductivity_in_lithium_garnet_li7la3zr2o12
10.1016/j.jpowsour.2012.11.098,1,a_rechargeable_lithium_air_battery_using_a_lithium_ion-conducting_lanthanum_lithium_titanate_ceramics_as_an_electrolyte_separator
10.1016/j.jpowsour.2013.03.049,1,structure_and_transport_properties_of_li7la3zr2_0_75xalxo12erionic_solid_electrolytes
10.1016/j.jpowsour.2013.03.175,1,high_li_conduction_in_nasicon-type_li1_xyxzr2_x_po4_3_at_room_temperature
10.1016/j.jpowsour.2014.07.159,1,synthesis_structure_and_lithium_ionic_conductivity_of_solid_solutions_of_li10_ge1_m_p2s12_m_si_sn
10.1016/0167-2738(83)90045-0,1,ionic_conductivity_of_pure_and_doped_li3n
10.1016/0167-2738(81)90178-8,1,structure_et_proprietes_de_conduction_du_compose_k0_1li0_9sbo3
10.1016/0025-5408(86)90194-7,1,fast_ion_transport_in_lizr2_po4_3_structure_and_conductivity
10.1002/zaac.200900056,1,lib_6_o_9_f_the_first_lithium_fluorooxoborate_crystal_structure_and_ionic_conductivity
10.1002/ange.201604554,1,fluorine_doped_antiperovskite_electrolyte_for_all_solid_state_lithium_ion_batteries
10.1002/anie.200701144,1,fast_lithium_ion_conduction_in_garnet_type_li_7_la_3_zr_2_o_12_sub
10.1002/anie.201604554,1,fluorine_doped_antiperovskite_electrolyte_for_all_solid_state_lithium_ion_batteries
10.1002/anie.201909805,1,water_mediated_synthesis_of_aerionic_halide_solid_electrolyte
10.1002/chem.201502052,1,li_17_sb_13_s_28_a_new_lithium_ion_conductor_and_addition_to_the_phase_diagram_li_2_s_sb_2_s_3_sub
10.1002/chin.198639014|10.1149/1.2108704,1,cheminform_abstract_ionic_conductivity_and_phase_transition_of_the_bromide_spinels_li2_2xm1_xbr4_m_mg_mn
10.1002/zaac.200500231,1,crystal_structures_dimorphism_and_lithium_mobility_of_li_7_mo_6_m_bi_ru_os
10.1002/zaac.201000121,1,li_6_po_5_br_and_li_6_po_5_cl_the_first_lithium_oxide_argyrodites
10.1016/0025-5408(81)90142-2,1,ionic_conductivity_of_solid_lithium_ion_conductors_with_the_spinel_structure_li2mcl4_m_mg_mn_fe_cd
10.1002/zaac.201200277,1,preparation_crystal_structure_electronic_structure_impedance_spectroscopy_and_raman_spectroscopy_of_li_3_sbs_3_and_li_3_ass_3_sub
10.1006/jssc.2000.9009,1,structural_disorder_and_ionic_conductivity_in_livo3_a_neutron_powder_diffraction_study_from_340_to_890_k
10.1006/jssc.2002.9596,1,conductivity_and_structural_investigations_in_lacunary_pb6ca2li2_po4_6_apatite
10.1007/bf00549810,1,the_extraction_of_ionic_conductivities_and_hopping_rates_from_a_c_conductivity_data
10.1007/s11581-010-0486-2,1,fast_ionic_conduction_in_cubic_hafnium_garnet_li7la3hf2o12
10.1007/s11581-014-1261-6,1,ac_conductivity_and_mechanism_of_conduction_study_of_lithium_barium_pyrophosphate_li2bap2o7_using_impedance_spectroscopy
10.1016/0022-4596(88)90301-5,1,synthesis_structure_ionic_conductivity_and_phase_transformation_of_new_double_chloride_spinel_li2crcl4
10.1016/j.jssc.2006.06.003,1,the_crystal_structure_thermal_behaviour_and_ionic_conductivity_of_a_novel_lithium_gadolinium_polyphosphate_ligd_po3_4
10.1016/j.jssc.2009.05.020,1,synthesis_and_structure_analysis_of_tetragonal_li7la3zr2o12_with_the_garnet-related_type_structure
10.1021/acs.inorgchem.7b00751,1,synthesis_structural_characterization_and_lithium_ion_conductivity_of_the_lithium_thiophosphate_li_2_p_2_s_6_sub
10.1016/j.jssc.2009.10.030,1,neutron_powder_diffraction_study_of_tetragonal_li7la3hf2o12_with_the_garnet-related_type_structure
10.1016/j.ssi.2015.04.011,1,phase_formation_of_a_garnet-type_lithium-ion_conductor_li7_3al_la3zr2o12
10.1016/j.ssi.2015.08.011,1,synthesis_structure_and_ionic_conductivities_of_novel_li-ion_conductor_a3li_ta6_zr_si4o26_a_sr_and_ba
10.1016/j.ssi.2015.10.015,1,structural_and_electrolyte_properties_of_li4p2s6
10.1016/j.ssi.2015.11.027,1,reaction_mechanism_studies_towards_effective_fabrication_of_lithium-rich_anti-perovskites_li3ox_x_cl_br
10.1016/j.ssi.2017.03.030,1,effect_of_quenching_method_on_li_ion_conductivity_of_li5la3bi2o12_solid_state_electrolyte
10.1016/j.ssi.2019.01.017,1,preparation_and_characterization_of_lithium_ion_conductive_li3sbs4_glass_and_glass-ceramic_electrolytes
10.1016/s0167-2738(00)00277-0,1,synthesis_of_a_new_lithium_ionic_conductor_thio-lisicon_lithium_germanium_sulfide_system
10.1016/s0167-2738(00)00491-4,1,ionic_conductivity_and_structure_of_halocomplex_salts_of_group_13_elements
