material_name,material_class,measurement_temperature,ionic_conductivity,material_description,processing_method
Li6PS4.2Se0.8Br,Ceramic,room temperature,3.45e-3 S cm^-1,Argyrodite-type solid electrolyte with x=0.8 selenium substitution.,Liquid-phase synthesis using ethanol solvent followed by heat treatment at 550°C. [Inferred]
Li6PS4.1Se0.9Br,Ceramic,room temperature,3.8e-3 S cm^-1,Argyrodite-type solid electrolyte with x=0.9 selenium substitution.,Liquid-phase synthesis using ethanol solvent followed by heat treatment at 550°C. [Inferred]
Li6PS4SeBr,Ceramic,room temperature,3.6e-3 S cm^-1,Argyrodite-type solid electrolyte with x=1.0 selenium substitution.,Liquid-phase synthesis using ethanol solvent followed by heat treatment at 550°C. [Inferred]
Li6PS5X,Ceramic,N/A,10^4.6 K S cm⁻¹ (log sigma_0 product),Pre-exponential factor (sigma_0) versus activation energy (E_A) data series.,Liquid-phase synthesis using ethanol solvent followed by heat treatment at 550°C. [Inferred]
Li6PS5X,Ceramic,N/A,10^5.3 K S cm⁻¹ (log sigma_0 product),Pre-exponential factor (sigma_0) versus activation energy (E_A) data series.,Liquid-phase synthesis using ethanol solvent followed by heat treatment at 550°C. [Inferred]
Li6PS5X,Ceramic,N/A,10^6.2 K S cm⁻¹ (log sigma_0 product),Pre-exponential factor (sigma_0) versus activation energy (E_A) data series.,Liquid-phase synthesis using ethanol solvent followed by heat treatment at 550°C. [Inferred]
Li6PS5X,Ceramic,N/A,10^6.7 K S cm⁻¹ (log sigma_0 product),Pre-exponential factor (sigma_0) versus activation energy (E_A) data series.,Liquid-phase synthesis using ethanol solvent followed by heat treatment at 550°C. [Inferred]
Li6PS5X,Ceramic,N/A,10^7.4 K S cm⁻¹ (log sigma_0 product),Pre-exponential factor (sigma_0) versus activation energy (E_A) data series.,Liquid-phase synthesis using ethanol solvent followed by heat treatment at 550°C. [Inferred]
Li6PS5X,Ceramic,N/A,10^5.1 K S cm⁻¹ (log sigma_0 product),Pre-exponential factor (sigma_0) versus activation energy (E_A) data series.,Liquid-phase synthesis using ethanol solvent followed by heat treatment at 550°C. [Inferred]
Li6PS5X,Ceramic,N/A,10^5.8 K S cm⁻¹ (log sigma_0 product),Pre-exponential factor (sigma_0) versus activation energy (E_A) data series.,Liquid-phase synthesis using ethanol solvent followed by heat treatment at 550°C. [Inferred]
