material_name,material_class,measurement_temperature,ionic_conductivity,material_description,processing_method
Li1.2Fe0.2Hf1.8(PO4)3,Ceramic,298 K,1.7 × 10⁻⁴ S cm⁻¹,NASICON-type lithium hafnium phosphate with iron substitution.,"Sintered pellet (implied by context of porosity and sinterability discussion). | Solid-state reaction: Starting materials Li2CO3, HfO2, (NH4)2HPO4, and Fe2O3 were mixed and reacted in a platinum crucible at 1173 K for 2h in air. The material was wet ball-milled in methanol for 6h, reacted again at 1173 K for 2h in air, and reground. The powder was mixed with 3 wt% PVA, pressed into pellets at 1 x 10^8 Pa, and sintered for 2h in air at temperatures above 1293 K to achieve maximum conductivity."
LiHf2(PO4)3,Ceramic,298 K,6.3e-7 S cm^-1,Unsubstituted lithium hafnium phosphate,"Solid-state reaction: Starting materials Li2CO3, HfO2, and (NH4)2HPO4 were reacted in a platinum crucible at 1173 K for 2h in air. The resulting material was wet ball-milled in methanol for 6h, reacted again at 1173 K for 2h in air, and reground. The powder was pressed into pellets with 3 wt% PVA at 1 x 10^8 Pa and sintered for 2h in air."
Na4Zr2Si3O12,Ceramic,25 °C,1.32e-4 S cm⁻¹,NASICON ceramic electrolyte sintered at 1293 K,"Sintered at 1293 K | Synthesized according to Ref [1, 2] (details not in text)."
Na4Zr2Si3O12,Ceramic,25 °C,6.72e-5 S cm⁻¹,NASICON ceramic electrolyte sintered at 1393 K,"Sintered at 1393 K | Synthesized according to Ref [1, 2] (details not in text)."
Na4Zr2Si3O12,Ceramic,25 °C,8.34e-7 S cm⁻¹,NASICON ceramic electrolyte sintered at 1173 K,"Sintered at 1173 K | Synthesized according to Ref [1, 2] (details not in text)."
Na4Zr2Si3O12,Ceramic,25 °C,1.66e-7 S cm⁻¹,NASICON ceramic electrolyte sintered at 1073 K,"Sintered at 1073 K | Synthesized according to Ref [1, 2] (details not in text)."
Na4Zr2Si3O12,Ceramic,300 °C,5.3e-3 S cm⁻¹,NASICON ceramic electrolyte sintered at 1293 K,"Sintered at 1293 K | Synthesized according to Ref [1, 2] (details not in text)."
Na4Zr2Si3O12,Ceramic,300 °C,4.4e-3 S cm⁻¹,NASICON ceramic electrolyte sintered at 1073 K,"Sintered at 1073 K | Synthesized according to Ref [1, 2] (details not in text)."
LiHf2(PO4)3,Ceramic,298 K,3.16e-9 S cm^-1,Composition labeled as y=0 in the plot.,"Sintered at 1175 K | Sintered at 1300 K | Solid-state reaction: Starting materials Li2CO3, HfO2, and (NH4)2HPO4 were reacted in a platinum crucible at 1173 K for 2h in air. The resulting material was wet ball-milled in methanol for 6h, reacted again at 1173 K for 2h in air, and reground. The powder was pressed into pellets with 3 wt% PVA at 1 x 10^8 Pa and sintered for 2h in air."
LiHf2(PO4)3,Ceramic,298 K,2.00e-9 S cm^-1,Composition labeled as y=0 in the plot.,"Sintered at 1400 K | Solid-state reaction: Starting materials Li2CO3, HfO2, and (NH4)2HPO4 were reacted in a platinum crucible at 1173 K for 2h in air. The resulting material was wet ball-milled in methanol for 6h, reacted again at 1173 K for 2h in air, and reground. The powder was pressed into pellets with 3 wt% PVA at 1 x 10^8 Pa and sintered for 2h in air."
LiHf2(PO4)3,Ceramic,298 K,1.58e-7 S cm^-1,Composition labeled as y=0 in the plot.,"Sintered at 1450 K | Solid-state reaction: Starting materials Li2CO3, HfO2, and (NH4)2HPO4 were reacted in a platinum crucible at 1173 K for 2h in air. The resulting material was wet ball-milled in methanol for 6h, reacted again at 1173 K for 2h in air, and reground. The powder was pressed into pellets with 3 wt% PVA at 1 x 10^8 Pa and sintered for 2h in air."
LiHf2(PO4)3,Ceramic,298 K,2.24e-7 S cm^-1,Composition labeled as y=0 in the plot.,"Sintered at 1500 K | Solid-state reaction: Starting materials Li2CO3, HfO2, and (NH4)2HPO4 were reacted in a platinum crucible at 1173 K for 2h in air. The resulting material was wet ball-milled in methanol for 6h, reacted again at 1173 K for 2h in air, and reground. The powder was pressed into pellets with 3 wt% PVA at 1 x 10^8 Pa and sintered for 2h in air."
LiHf2(PO4)3,Ceramic,298 K,3.55e-7 S cm^-1,Composition labeled as y=0 in the plot.,"Sintered at 1550 K | Solid-state reaction: Starting materials Li2CO3, HfO2, and (NH4)2HPO4 were reacted in a platinum crucible at 1173 K for 2h in air. The resulting material was wet ball-milled in methanol for 6h, reacted again at 1173 K for 2h in air, and reground. The powder was pressed into pellets with 3 wt% PVA at 1 x 10^8 Pa and sintered for 2h in air."
LiHf2(PO4)3,Ceramic,298 K,7.94e-7 S cm^-1,Composition labeled as y=0 in the plot.,"Sintered at 1600 K | Solid-state reaction: Starting materials Li2CO3, HfO2, and (NH4)2HPO4 were reacted in a platinum crucible at 1173 K for 2h in air. The resulting material was wet ball-milled in methanol for 6h, reacted again at 1173 K for 2h in air, and reground. The powder was pressed into pellets with 3 wt% PVA at 1 x 10^8 Pa and sintered for 2h in air."
Li1.2Hf1.8Cr0.2(PO4)3,Ceramic,298 K,2.5e-7 S cm^-1,Chromium substituted lithium hafnium phosphate (Cr label),"Solid-state reaction: Starting materials Li2CO3, HfO2, (NH4)2HPO4, and Cr2O3 were reacted in a platinum crucible at 1173 K for 2h in air. The material was wet ball-milled in methanol for 6h, reacted again at 1173 K for 2h in air, and reground. Pellets pressed with 3 wt% PVA were sintered for 2h in air at temperatures above 1293 K."
Li1.3Hf1.7Cr0.3(PO4)3,Ceramic,298 K,5.0e-7 S cm^-1,Chromium substituted lithium hafnium phosphate (Cr label),"Solid-state reaction: Starting materials Li2CO3, HfO2, (NH4)2HPO4, and Cr2O3 were reacted in a platinum crucible at 1173 K for 2h in air. The material was wet ball-milled in methanol for 6h, reacted again at 1173 K for 2h in air, and reground. Pellets pressed with 3 wt% PVA were sintered for 2h in air at temperatures above 1293 K."
Li1.1Hf1.9M0.1(PO4)3,Ceramic,298 K,1.0e-4 S cm^-1,Substituted lithium hafnium phosphate (upper cluster),"Solid-state reaction: Starting materials Li2CO3, HfO2, (NH4)2HPO4, and M2O3 (M=Cr, Fe, Sc, In, Lu, or Y) were reacted in a platinum crucible at 1173 K for 2h in air. The material was wet ball-milled in methanol for 6h, reacted again at 1173 K for 2h in air, and reground. Pellets were sintered for 2h in air at temperatures above 1293 K."
Li1.3Hf1.7M0.3(PO4)3,Ceramic,298 K,1.4e-4 S cm^-1,Substituted lithium hafnium phosphate (upper cluster),"Solid-state reaction: Starting materials Li2CO3, HfO2, (NH4)2HPO4, and M2O3 (M=Cr, Fe, Sc, In, Lu, or Y) were reacted in a platinum crucible at 1173 K for 2h in air. The material was wet ball-milled in methanol for 6h, reacted again at 1173 K for 2h in air, and reground. Pellets were sintered for 2h in air at temperatures above 1293 K."
Li1.4Hf1.6M0.4(PO4)3,Ceramic,298 K,1.4e-4 S cm^-1,Substituted lithium hafnium phosphate (upper cluster),"Solid-state reaction: Starting materials Li2CO3, HfO2, (NH4)2HPO4, and M2O3 (M=Cr, Fe, Sc, In, Lu, or Y) were reacted in a platinum crucible at 1173 K for 2h in air. The material was wet ball-milled in methanol for 6h, reacted again at 1173 K for 2h in air, and reground. Pellets were sintered for 2h in air at temperatures above 1293 K."
Li1.5Hf1.5M0.5(PO4)3,Ceramic,298 K,1.3e-5 S cm^-1,Substituted lithium hafnium phosphate at solubility limit,"Solid-state reaction: Starting materials Li2CO3, HfO2, (NH4)2HPO4, and M2O3 (M=Cr, Fe, Sc, In, Lu, or Y) were reacted in a platinum crucible at 1173 K for 2h in air. The material was wet ball-milled in methanol for 6h, reacted again at 1173 K for 2h in air, and reground. Pellets were sintered for 2h in air at temperatures above 1293 K."
LiTi2(PO4)3,Ceramic,298 K,7.0 × 10⁻⁴ S cm⁻¹,N/A (Cited Work),Synthesized according to Ref [15] (details not in text).
Sintered series (Upward Triangle),Ceramic,298 K,1.12e-4 S cm^-1,Upward triangle series (highest conductivity group),"Sintered at 1280 K | Solid-state reaction: This series (y=0.1) was prepared using Li2CO3, HfO2, and (NH4)2HPO4. Process involved two 1173 K reactions for 2h each, separated by 6h wet ball-milling in methanol. Pellets were sintered for 2h in air; data for this series corresponds to samples sintered at various temperatures (max conductivity reached at 1298 K)."
Li1.2Hf1.8M0.2(PO4)3,Ceramic,298 K,1.6e-4 S cm^-1,Substituted lithium hafnium phosphate (upper cluster),"Solid-state reaction: Starting materials Li2CO3, HfO2, (NH4)2HPO4, and M2O3 were reacted in a platinum crucible at 1173 K for 2h in air, followed by 6h wet ball-milling in methanol. The process was repeated (1173 K for 2h), and pellets were pressed with PVA and sintered for 2h in air at temperatures above 1293 K."
