Abbreviation,Full Name,Material Type,Compositions,Processing Methods,Source Count,Source Node IDs,Source Sections
LLZO,"Li
7
La
3
Zr
2
O
12",ceramic,"<20 wt %; 20 wt %; 50 wt %; high content; <20 wt % LLZO; Li
 7
 La
 3
 Zr
 2
 O
 12; low content; 8.4:3.0:2.0:0.2 molar ratio of LiOH:La(NO3)3·6H2O:Zr(OC4H9)4:Al(NO3)3·9H2O, with 5.0 molar ratio of citric acid; 90:10 wt%; large LLZO content; 7:3:2:12; 5 wt %","hot pressing; ball-milling; sol-gel method, stirred at 80 °C overnight, dried at 200 °C for 2 h, sintered at 290 °C for 2 h and 900 °C for 8 h; ball-milling mixing; ball milling",52,0000; 0010; 0022; 0035; 0043; 0051; 0060; 0070; 0071; 0072; 0082; 0113; 0114; 0115; 0124; 0133; 0137; 0138; 0149; 0159; 0169; 0170; 0171; 0181; 0182; 0194; 0195; 0203; 0214; 0225; 0226; 0227; 0236; 0249; 0250; 0251; 0262; 0263; 0271; 0272; 0273; 0283; 0284; 0295; 0309; 0319; 0361; 0362; 0363; 0374; 0375; 0376,New Insights into the Compositional Dependence of Li-Ion Transport in Polymer-Ceramic Composite Electrolytes; INTRODUCTION; INTRODUCTION; INTRODUCTION; INTRODUCTION; INTRODUCTION; EXPERIMENTAL SECTION; EXPERIMENTAL SECTION; EXPERIMENTAL SECTION; EXPERIMENTAL SECTION; EXPERIMENTAL SECTION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; CONCLUSIONS; CONCLUSIONS; REFERENCES; REFERENCES; REFERENCES; REFERENCES; REFERENCES; REFERENCES
LLZO (20 wt %)-PEO,,composite,20 wt % LLZO-PEO; 20 wt % LLZO,,2,0022; 0035,INTRODUCTION; INTRODUCTION
LLZO (20 wt %)-PEO (LiTFSI),LLZO-PEO-LiTFSI composite,composite,"20 wt % LLZO in PEO with LiTFSI; LLZO (20 wt %)-PEO (LiTFSI); 20 wt % LLZO, PEO, LiTFSI; 20 wt % LLZO, LiTFSI in PEO; 20 wt % LLZO-PEO (LiTFSI); 20 wt % LLZO, LiTFSI; 20 wt % LLZO",ball-milling mixing,13,0043; 0113; 0114; 0115; 0137; 0169; 0181; 0182; 0225; 0249; 0251; 0283; 0284,INTRODUCTION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION
LLZO (20 wt %)–PEO (LiTFSI),,composite,20 wt % LLZO,,1,0273,RESULTS AND DISCUSSION
LLZO (5 wt %)-PEO,,composite,5 wt % LLZO; 5 wt % LLZO-PEO,,2,0022; 0035,INTRODUCTION; INTRODUCTION
LLZO (5 wt %)-PEO (LiTFSI),,composite,"5 wt % LLZO-PEO (LiTFSI); 5 wt % LLZO in PEO with LiTFSI; LLZO (5 wt %)-PEO (LiTFSI); 5 wt % LLZO; 5 wt % LLZO, PEO, LiTFSI",,7,0043; 0113; 0114; 0115; 0137; 0225; 0283,INTRODUCTION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION
LLZO (5 wt %)–PEO (LiTFSI),LLZO-PEO-LiTFSI composite,composite,5 wt % LLZO,solution casting; ball-milling mixing,3,0169; 0181; 0273,RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION
LLZO (5 wt %)—PEO (LiTFSI),,composite,5 wt % LLZO—PEO (LiTFSI),,1,0295,RESULTS AND DISCUSSION
LLZO (50 wt %)-PEO,,composite,50 wt % LLZO; 50 wt % LLZO-PEO,,2,0022; 0035,INTRODUCTION; INTRODUCTION
LLZO (50 wt %)-PEO (50 wt %)-TEGDME,,composite,"50 wt % LLZO, 50 wt % TEGDME; 50 wt % LLZO-PEO (50 wt %)-TEGDME",,2,0022; 0035,INTRODUCTION; INTRODUCTION
LLZO (50 wt %)-PEO (LiTFSI),,composite,"50 wt % LLZO; 50 wt % LLZO, PEO, LiTFSI; LLZO (50 wt %)-PEO (LiTFSI); 50 wt % LLZO-PEO (LiTFSI); 50 wt % LLZO in PEO with LiTFSI",,8,0043; 0113; 0114; 0115; 0137; 0159; 0225; 0283,INTRODUCTION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION
LLZO (50 wt %)-PEO (LiTFSI) (50 wt %)-TEGDME,,composite,"50 wt % LLZO in PEO with LiTFSI and 50 wt % TEGDME; 50 wt % LLZO-PEO (LiTFSI) (50 wt %)-TEGDME; 50 wt % LLZO, 50 wt % PEO, LiTFSI, TEGDME; LLZO (50 wt %)-PEO (LiTFSI) (50 wt %)-TEGDME; 50 wt % LLZO, 50 wt % TEGDME; 50 wt % LLZO, PEO, LiTFSI, 50 wt % TEGDME",,9,0043; 0113; 0114; 0115; 0137; 0159; 0225; 0249; 0251,INTRODUCTION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION
LLZO (50 wt %)–PEO (LiTFSI),,composite,50 wt % LLZO,,1,0273,RESULTS AND DISCUSSION
LLZO (50 wt %)—PEO (LiTFSI),LLZO-PEO-LiTFSI composite,composite,50 wt % LLZO; 50 wt % LLZO—PEO (LiTFSI),ball-milling mixing,3,0169; 0181; 0295,RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION
LLZO (50 wt %)—PEO (LiTFSI) (50 wt %)—TEGDME,,composite,"LLZO (50 wt %)—PEO (LiTFSI) (50 wt %)—TEGDME; 50 wt % LLZO, 50 wt % TEGDME; 50 wt % LLZO—50 wt % PEO (LiTFSI)—TEGDME",,3,0124; 0194; 0273,RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION
LLZO-PEO,LLZO-PEO composite,composite,"various fractions of LLZO and PEO; LLZO-PEO; LLZO-PEO (LiTFSI); 50 wt % LLZO, 50 wt % PEO; 5 wt % LLZO, 95 wt % PEO; 5 to 20 and 50 wt % LLZO; 90:10 wt%; 20 wt % LLZO, 80 wt % PEO; LLZO content; various fractions of LLZO","solution casting, ball-milling; ball-milling; solution casting, ball milling; solution casting",16,0022; 0035; 0070; 0071; 0072; 0133; 0137; 0159; 0227; 0236; 0262; 0263; 0283; 0309; 0319; 0374,INTRODUCTION; INTRODUCTION; EXPERIMENTAL SECTION; EXPERIMENTAL SECTION; EXPERIMENTAL SECTION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; CONCLUSIONS; CONCLUSIONS; REFERENCES
LLZO-PEO (LiClO4),,composite,50 wt % LLZO,,1,0203,RESULTS AND DISCUSSION
LLZO-PEO (LiTFSI),LLZO-PEO (LiTFSI),composite,50 wt % LLZO; LLZO (50 wt %)-PEO (LiTFSI); LLZO-PEO (LiTFSI); LLZO (20 wt %)-PEO (LiTFSI); <20 wt % LLZO; critical point LLZO; high content LLZO; 5 wt % LLZO; increasing LLZO amount; LLZO (5 wt %)-PEO (LiTFSI); different LLZO contents,ball-milling; composite preparation,12,0043; 0138; 0149; 0159; 0203; 0214; 0225; 0226; 0227; 0249; 0250; 0251,INTRODUCTION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION
LLZO-PEO (LiTFSI)-TEGDME,,composite,LLZO (50 wt %)-PEO (LiTFSI) (50 wt %)-TEGDME,,2,0149; 0250,RESULTS AND DISCUSSION; RESULTS AND DISCUSSION
LLZO-PEO-TEGDME,,composite,"50 wt % LLZO, 50 wt % PEO, 50 wt % TEGDME",,2,0236; 0376,RESULTS AND DISCUSSION; REFERENCES
LLZO-poly(ethylene oxide),LLZO-poly(ethylene oxide),composite,LLZO-poly(ethylene oxide),,1,0000,New Insights into the Compositional Dependence of Li-Ion Transport in Polymer-Ceramic Composite Electrolytes
LLZO–PEO,,composite,LLZO (20 wt %)—PEO (LiTFSI); LLZO (50 wt %)—PEO (LiTFSI); LLZO (5 wt %)–PEO (LiTFSI),,1,0272,RESULTS AND DISCUSSION
LLZO–PEO (LiTFSI),lithium lanthanum zirconium oxide–poly(ethylene oxide) (lithium bis(trifluoromethanesulfonyl)imide),composite,5 wt % LLZO,ball-milling mixing,1,0182,RESULTS AND DISCUSSION
LLZO–PEO(LiTFSI)-TEGDME,,composite,"LLZO (50 wt %), PEO(LiTFSI) (50 wt %), TEGDME (20 wt %)",ball milling,1,0070,EXPERIMENTAL SECTION
LLZO–PEO(LiTFSI)–TEGDME,,composite,"LLZO (50 wt %), PEO(LiTFSI) (50 wt %), TEGDME (20 wt %)",ball-milling,2,0071; 0072,EXPERIMENTAL SECTION; EXPERIMENTAL SECTION
LLZO–PEO–TEGDME,,composite,LLZO (50 wt %)—PEO (LiTFSI) (50 wt %)—TEGDME,,1,0272,RESULTS AND DISCUSSION
LLZO—PEO (LiClO4),,composite,50 wt % LLZO—50 wt % PEO (LiClO4),,1,0194,RESULTS AND DISCUSSION
LLZO—PEO (LiTFSI),lithium lanthanum zirconium oxide—poly(ethylene oxide) (lithium bis(trifluoromethanesulfonyl)imide),composite,50 wt % LLZO; LLZO (20 wt %)—PEO (LiTFSI); 20 wt % LLZO—80 wt % PEO (LiTFSI); 50 wt % LLZO—50 wt % PEO (LiTFSI); LLZO (5 wt %)—PEO (LiTFSI); 5 wt % LLZO—95 wt % PEO (LiTFSI); LLZO (50 wt %)—PEO (LiTFSI),ball-milling mixing,3,0124; 0182; 0194,RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION
O,,other,,,1,0361,REFERENCES
P,,other,,,1,0361,REFERENCES
PAN,polyacrylonitrile,polymer,,,3,0010; 0022; 0363,INTRODUCTION; INTRODUCTION; REFERENCES
PEG,PEG,polymer,,,3,0361; 0362; 0363,REFERENCES; REFERENCES; REFERENCES
PEG-LiClO$_4$-Al$_2$O$_3$,,composite,,,1,0362,REFERENCES
PEG-LiClO$_4$-Al$_2$O$_3$ Composite Polyether Electrolytes,,composite,,,1,0363,REFERENCES
PEO,poly(ethylene oxide),polymer,Mw: 400 000; 20 wt %; 50 wt %; 90:10 wt%; 5 wt %,solution casting; ball-milling mixing,52,0000; 0003; 0010; 0022; 0035; 0043; 0051; 0070; 0071; 0072; 0082; 0113; 0114; 0115; 0124; 0133; 0137; 0138; 0149; 0159; 0169; 0170; 0171; 0181; 0182; 0194; 0195; 0203; 0214; 0225; 0226; 0227; 0236; 0249; 0250; 0251; 0262; 0263; 0271; 0272; 0273; 0283; 0284; 0295; 0309; 0319; 0361; 0362; 0363; 0374; 0375; 0376,New Insights into the Compositional Dependence of Li-Ion Transport in Polymer-Ceramic Composite Electrolytes; INTRODUCTION; INTRODUCTION; INTRODUCTION; INTRODUCTION; INTRODUCTION; INTRODUCTION; EXPERIMENTAL SECTION; EXPERIMENTAL SECTION; EXPERIMENTAL SECTION; EXPERIMENTAL SECTION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; CONCLUSIONS; CONCLUSIONS; REFERENCES; REFERENCES; REFERENCES; REFERENCES; REFERENCES; REFERENCES
PEO-Based Electrolyte,,polymer,,,1,0361,REFERENCES
PEO-Based Electrolytes,,polymer,,,3,0361; 0362; 0363,REFERENCES; REFERENCES; REFERENCES
PEO-TEGDME,,composite,,,1,0214,RESULTS AND DISCUSSION
PEO/Garnets,Polyethylene Oxides/Garnets,composite,,,2,0374; 0375,REFERENCES; REFERENCES
PEO/Garnets-IL,,composite,,,1,0376,REFERENCES
PMMA,poly-(methyl methacrylate),polymer,,,4,0010; 0361; 0362; 0363,INTRODUCTION; REFERENCES; REFERENCES; REFERENCES
PMMA/LiClO$_4$,,composite,,,1,0362,REFERENCES
PMMA/LiClO$_4$ Polymer Nanocomposite Electrolyte,,composite,,,1,0363,REFERENCES
Polyether Electrolytes,,polymer,,,1,0361,REFERENCES
Polymer Electrolyte,,polymer,,,2,0361; 0362,REFERENCES; REFERENCES
Polyurethane,Polyurethane,polymer,,,2,0374; 0375,REFERENCES; REFERENCES
PU,Polyurethane Polymers,polymer,,,1,0376,REFERENCES
SiO2,Silicon dioxide,filler,10 wt %,,3,0022; 0023; 0024,INTRODUCTION; INTRODUCTION; INTRODUCTION
TEGDME,Tetraethylene glycol dimethyl ether,solvent,50 wt %,"ball-milling; solution casting, ball milling",31,0022; 0035; 0043; 0070; 0071; 0072; 0113; 0114; 0115; 0124; 0137; 0138; 0149; 0159; 0194; 0195; 0214; 0225; 0226; 0227; 0236; 0249; 0250; 0251; 0262; 0263; 0272; 0273; 0374; 0375; 0376,INTRODUCTION; INTRODUCTION; INTRODUCTION; EXPERIMENTAL SECTION; EXPERIMENTAL SECTION; EXPERIMENTAL SECTION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; RESULTS AND DISCUSSION; REFERENCES; REFERENCES; REFERENCES
TiO2,Titanium dioxide,filler,10 wt %,,3,0022; 0023; 0024,INTRODUCTION; INTRODUCTION; INTRODUCTION
Zr(OC4H9)4,Zirconium(IV) butoxide,other,80 wt % in 1-butanal,,1,0060,EXPERIMENTAL SECTION
