Abbreviation,Full Name,Material Type,Composition,Processing Method,Source Node ID,Source Node Title,Source Node Type,Source Section
decomposed LLZO,Li2CO3,ceramic,,ball-milling,0113,NMR Characterization of Li-ion Environments and Mobility,semantic_unit,RESULTS AND DISCUSSION
Double-Network,,polymer,,,0361,References on Battery Electrolytes,semantic_unit,REFERENCES
Garnets,,ceramic,,,0376,Background: Literature Review on Composite Electrolytes and Separators,semantic_unit,REFERENCES
Ge,,other,,,0361,References on Battery Electrolytes,semantic_unit,REFERENCES
IL,Ionic Liquid,other,,,0375,"References on Doping, Morphology, and Ion Transport in Electrolytes",semantic_unit,REFERENCES
IL,Ionic Liquid,other,,,0376,Background: Literature Review on Composite Electrolytes and Separators,semantic_unit,REFERENCES
La(NO3)3·6H2O,Lanthanum nitrate hexahydrate,other,,,0060,Synthesis of Cubic-Li7La3Zr2O12 (LLZO),semantic_unit,EXPERIMENTAL SECTION
LAGP,Li1+xAlxGe2-x(PO4)3,ceramic,,,0010,Background: Inorganic and Polymer Solid Electrolytes,semantic_unit,INTRODUCTION
LAGP,Li1+xAlxGe2-x(PO4)3,ceramic,,,0022,Research Gap: Limitations of Composite Electrolytes and Need for Mechanistic Understanding,semantic_unit,INTRODUCTION
LAGP,Li1+xAlxGe2-x(PO4)3,ceramic,,,0363,Background: Advances in Lithium Battery Electrolytes,semantic_unit,REFERENCES
LAGP-PEO,Lithium aluminum germanium phosphate-poly(ethylene oxide),composite,80 wt % LAGP,,0023,Background on Composite Electrolytes,semantic_unit,INTRODUCTION
LAGP-PEO,Lithium aluminum germanium phosphate-poly(ethylene oxide),composite,80 wt % LAGP,,0024,Background on Composite Electrolytes,semantic_unit,INTRODUCTION
LATP,Li$_{10}$GeP$_2$S$_{12}$,ceramic,,,0363,Background: Advances in Lithium Battery Electrolytes,semantic_unit,REFERENCES
Li,Lithium metal,other,,,0082,Electrochemical Measurements,semantic_unit,EXPERIMENTAL SECTION
Li,Lithium metal,other,,,0361,References on Battery Electrolytes,semantic_unit,REFERENCES
"Li
2
CO
3",lithium carbonate,other,,,0138,Composite Electrolyte Preparation and Characterization Overview,semantic_unit,RESULTS AND DISCUSSION
Li$_7$La$_3$Zr$_2$O$_{12}$,Li$_7$La$_3$Zr$_2$O$_{12}$,ceramic,,,0361,References on Battery Electrolytes,semantic_unit,REFERENCES
Li$_{1+x}$Al$_x$Ge$_{2-x}$(PO$_4$)$_3$,,ceramic,,,0361,References on Battery Electrolytes,semantic_unit,REFERENCES
Li$_{1+x}$Al$_x$Ge$_{2-x}$(PO$_4$)$_3$,,ceramic,,,0362,Background: Advances in Lithium Battery Electrolytes,semantic_unit,REFERENCES
Li$_{10}$Ge$_{1}$P$_{2}$S$_{12}$,,ceramic,,,0361,References on Battery Electrolytes,semantic_unit,REFERENCES
Li$_{10}$GeP$_2$S$_{12}$,,ceramic,,,0362,Background: Advances in Lithium Battery Electrolytes,semantic_unit,REFERENCES
Li2CO3,Lithium carbonate,other,,,0137,Characterization Techniques and Data Analysis,semantic_unit,RESULTS AND DISCUSSION
LIBs,Li-ion batteries,other,,,0003,Motivation: Safety Issues with Current Li-ion Batteries,semantic_unit,INTRODUCTION
LiCl,Lithium chloride,salt,,,0093,Solid-State NMR,semantic_unit,EXPERIMENTAL SECTION
LiClO$_4$,,salt,,,0361,References on Battery Electrolytes,semantic_unit,REFERENCES
LiClO$_4$,,salt,,,0362,Background: Advances in Lithium Battery Electrolytes,semantic_unit,REFERENCES
LiClO$_4$,,salt,,,0363,Background: Advances in Lithium Battery Electrolytes,semantic_unit,REFERENCES
LiClO4,lithium perchlorate,salt,,,0194,Comparison with Previous Studies and Influence of Li Salts,semantic_unit,RESULTS AND DISCUSSION
LiClO4,lithium perchlorate,salt,,,0203,Comparison of Li-ion Transport Pathways with Different Li Salts,semantic_unit,RESULTS AND DISCUSSION
LiClO4,lithium perchlorate,salt,,,0374,Additional Content (2),semantic_unit,REFERENCES
LiClO4,lithium perchlorate,salt,,,0375,"References on Doping, Morphology, and Ion Transport in Electrolytes",semantic_unit,REFERENCES
LiClO4,lithium perchlorate,salt,,,0376,Background: Literature Review on Composite Electrolytes and Separators,semantic_unit,REFERENCES
LiOH,Lithium hydroxide,salt,excess 20 wt %,,0060,Synthesis of Cubic-Li7La3Zr2O12 (LLZO),semantic_unit,EXPERIMENTAL SECTION
LiTFSI,Lithium bis(trifluoromethanesulfonyl)imide,salt,50 wt %; 5 wt %; 20 wt %,solution casting; ball-milling mixing,0022,Research Gap: Limitations of Composite Electrolytes and Need for Mechanistic Understanding,semantic_unit,INTRODUCTION
LiTFSI,Lithium bis(trifluoromethanesulfonyl)imide,salt,50 wt %; 5 wt %; 20 wt %,solution casting; ball-milling mixing,0035,Publication Details,semantic_unit,INTRODUCTION
LiTFSI,Lithium bis(trifluoromethanesulfonyl)imide,salt,50 wt %; 5 wt %; 20 wt %,solution casting; ball-milling mixing,0043,Journal and Figure Description,semantic_unit,INTRODUCTION
LiTFSI,Lithium bis(trifluoromethanesulfonyl)imide,salt,50 wt %; 5 wt %; 20 wt %,solution casting; ball-milling mixing,0070,Preparation of Composite Films,semantic_unit,EXPERIMENTAL SECTION
LiTFSI,Lithium bis(trifluoromethanesulfonyl)imide,salt,50 wt %; 5 wt %; 20 wt %,solution casting; ball-milling mixing,0071,Preparation of Composite Films,semantic_unit,EXPERIMENTAL SECTION
LiTFSI,Lithium bis(trifluoromethanesulfonyl)imide,salt,50 wt %; 5 wt %; 20 wt %,solution casting; ball-milling mixing,0072,Preparation of Composite Films,semantic_unit,EXPERIMENTAL SECTION
LiTFSI,Lithium bis(trifluoromethanesulfonyl)imide,salt,50 wt %; 5 wt %; 20 wt %,solution casting; ball-milling mixing,0113,NMR Characterization of Li-ion Environments and Mobility,semantic_unit,RESULTS AND DISCUSSION
LiTFSI,Lithium bis(trifluoromethanesulfonyl)imide,salt,50 wt %; 5 wt %; 20 wt %,solution casting; ball-milling mixing,0114,Materials and Sample Preparation,semantic_unit,RESULTS AND DISCUSSION
LiTFSI,Lithium bis(trifluoromethanesulfonyl)imide,salt,50 wt %; 5 wt %; 20 wt %,solution casting; ball-milling mixing,0115,Materials and Sample Compositions,semantic_unit,RESULTS AND DISCUSSION
LiTFSI,Lithium bis(trifluoromethanesulfonyl)imide,salt,50 wt %; 5 wt %; 20 wt %,solution casting; ball-milling mixing,0124,Experimental Data Presentation,semantic_unit,RESULTS AND DISCUSSION
LiTFSI,Lithium bis(trifluoromethanesulfonyl)imide,salt,50 wt %; 5 wt %; 20 wt %,solution casting; ball-milling mixing,0133,Discussion of Ionic Conductivity,semantic_unit,RESULTS AND DISCUSSION
LiTFSI,Lithium bis(trifluoromethanesulfonyl)imide,salt,50 wt %; 5 wt %; 20 wt %,solution casting; ball-milling mixing,0137,Characterization Techniques and Data Analysis,semantic_unit,RESULTS AND DISCUSSION
LiTFSI,Lithium bis(trifluoromethanesulfonyl)imide,salt,50 wt %; 5 wt %; 20 wt %,solution casting; ball-milling mixing,0138,Composite Electrolyte Preparation and Characterization Overview,semantic_unit,RESULTS AND DISCUSSION
LiTFSI,Lithium bis(trifluoromethanesulfonyl)imide,salt,50 wt %; 5 wt %; 20 wt %,solution casting; ball-milling mixing,0149,Analysis of LiTFSI Resonance Broadening,semantic_unit,RESULTS AND DISCUSSION
LiTFSI,Lithium bis(trifluoromethanesulfonyl)imide,salt,50 wt %; 5 wt %; 20 wt %,solution casting; ball-milling mixing,0159,Li-ion Mobility Analysis via T1 Relaxation Times,semantic_unit,RESULTS AND DISCUSSION
LiTFSI,Lithium bis(trifluoromethanesulfonyl)imide,salt,50 wt %; 5 wt %; 20 wt %,solution casting; ball-milling mixing,0169,Investigation of Li-ion Transport Pathways via Isotope Replacement,semantic_unit,RESULTS AND DISCUSSION
LiTFSI,Lithium bis(trifluoromethanesulfonyl)imide,salt,50 wt %; 5 wt %; 20 wt %,solution casting; ball-milling mixing,0170,Symmetric Cell Fabrication and Electrochemical Cycling,semantic_unit,RESULTS AND DISCUSSION
LiTFSI,Lithium bis(trifluoromethanesulfonyl)imide,salt,50 wt %; 5 wt %; 20 wt %,solution casting; ball-milling mixing,0171,Symmetric Cell Fabrication and Electrochemical Cycling,semantic_unit,RESULTS AND DISCUSSION
LiTFSI,Lithium bis(trifluoromethanesulfonyl)imide,salt,50 wt %; 5 wt %; 20 wt %,solution casting; ball-milling mixing,0181,NMR Analysis of Li-ion Transport Pathways,semantic_unit,RESULTS AND DISCUSSION
LiTFSI,Lithium bis(trifluoromethanesulfonyl)imide,salt,50 wt %; 5 wt %; 20 wt %,solution casting; ball-milling mixing,0182,NMR Analysis of Composite Electrolytes,semantic_unit,RESULTS AND DISCUSSION
LiTFSI,Lithium bis(trifluoromethanesulfonyl)imide,salt,50 wt %; 5 wt %; 20 wt %,solution casting; ball-milling mixing,0194,Comparison with Previous Studies and Influence of Li Salts,semantic_unit,RESULTS AND DISCUSSION
LiTFSI,Lithium bis(trifluoromethanesulfonyl)imide,salt,50 wt %; 5 wt %; 20 wt %,solution casting; ball-milling mixing,0195,Additional Content (1),semantic_unit,RESULTS AND DISCUSSION
LiTFSI,Lithium bis(trifluoromethanesulfonyl)imide,salt,50 wt %; 5 wt %; 20 wt %,solution casting; ball-milling mixing,0203,Comparison of Li-ion Transport Pathways with Different Li Salts,semantic_unit,RESULTS AND DISCUSSION
LiTFSI,Lithium bis(trifluoromethanesulfonyl)imide,salt,50 wt %; 5 wt %; 20 wt %,solution casting; ball-milling mixing,0214,Effect of TEGDME Plasticizer on Li-ion Pathways,semantic_unit,RESULTS AND DISCUSSION
LiTFSI,Lithium bis(trifluoromethanesulfonyl)imide,salt,50 wt %; 5 wt %; 20 wt %,solution casting; ball-milling mixing,0225,Summary of Li-ion Transport Pathways and Charge Carrier Contributions,semantic_unit,RESULTS AND DISCUSSION
LiTFSI,Lithium bis(trifluoromethanesulfonyl)imide,salt,50 wt %; 5 wt %; 20 wt %,solution casting; ball-milling mixing,0226,Li-ion Pathways in LLZO-PEO Composites,semantic_unit,RESULTS AND DISCUSSION
LiTFSI,Lithium bis(trifluoromethanesulfonyl)imide,salt,50 wt %; 5 wt %; 20 wt %,solution casting; ball-milling mixing,0227,Composite Electrolyte Behavior,semantic_unit,RESULTS AND DISCUSSION
LiTFSI,Lithium bis(trifluoromethanesulfonyl)imide,salt,50 wt %; 5 wt %; 20 wt %,solution casting; ball-milling mixing,0236,Sources of Active Li Ions,semantic_unit,RESULTS AND DISCUSSION
LiTFSI,Lithium bis(trifluoromethanesulfonyl)imide,salt,50 wt %; 5 wt %; 20 wt %,solution casting; ball-milling mixing,0249,Analysis of Factors Affecting Ionic Conductivity,semantic_unit,RESULTS AND DISCUSSION
LiTFSI,Lithium bis(trifluoromethanesulfonyl)imide,salt,50 wt %; 5 wt %; 20 wt %,solution casting; ball-milling mixing,0250,Analysis of Ionic Conductivity,semantic_unit,RESULTS AND DISCUSSION
LiTFSI,Lithium bis(trifluoromethanesulfonyl)imide,salt,50 wt %; 5 wt %; 20 wt %,solution casting; ball-milling mixing,0251,Analysis of Ionic Conductivity,semantic_unit,RESULTS AND DISCUSSION
LiTFSI,Lithium bis(trifluoromethanesulfonyl)imide,salt,50 wt %; 5 wt %; 20 wt %,solution casting; ball-milling mixing,0262,Electrochemical Impedance Spectroscopy (EIS) Measurements of Ionic Conductivity,semantic_unit,RESULTS AND DISCUSSION
LiTFSI,Lithium bis(trifluoromethanesulfonyl)imide,salt,50 wt %; 5 wt %; 20 wt %,solution casting; ball-milling mixing,0271,Additional Content (1),semantic_unit,RESULTS AND DISCUSSION
LiTFSI,Lithium bis(trifluoromethanesulfonyl)imide,salt,50 wt %; 5 wt %; 20 wt %,solution casting; ball-milling mixing,0272,Conductivity Results and Discussion,semantic_unit,RESULTS AND DISCUSSION
LiTFSI,Lithium bis(trifluoromethanesulfonyl)imide,salt,50 wt %; 5 wt %; 20 wt %,solution casting; ball-milling mixing,0273,Ionic Conductivity of LLZO-PEO Composites with and without TEGDME,semantic_unit,RESULTS AND DISCUSSION
LiTFSI,Lithium bis(trifluoromethanesulfonyl)imide,salt,50 wt %; 5 wt %; 20 wt %,solution casting; ball-milling mixing,0283,Correlation of NMR Findings with Ionic Conductivity and Stability,semantic_unit,RESULTS AND DISCUSSION
LiTFSI,Lithium bis(trifluoromethanesulfonyl)imide,salt,50 wt %; 5 wt %; 20 wt %,solution casting; ball-milling mixing,0284,Factors Influencing Ionic Conductivity in Composite Electrolytes,semantic_unit,RESULTS AND DISCUSSION
LiTFSI,Lithium bis(trifluoromethanesulfonyl)imide,salt,50 wt %; 5 wt %; 20 wt %,solution casting; ball-milling mixing,0295,Electrochemical Stability of Composite Electrolytes with Li Metal Anodes,semantic_unit,RESULTS AND DISCUSSION
LiTFSI,Lithium bis(trifluoromethanesulfonyl)imide,salt,50 wt %; 5 wt %; 20 wt %,solution casting; ball-milling mixing,0361,References on Battery Electrolytes,semantic_unit,REFERENCES
LiTFSI,Lithium bis(trifluoromethanesulfonyl)imide,salt,50 wt %; 5 wt %; 20 wt %,solution casting; ball-milling mixing,0363,Background: Advances in Lithium Battery Electrolytes,semantic_unit,REFERENCES
LiTFSI,Lithium bis(trifluoromethanesulfonyl)imide,salt,50 wt %; 5 wt %; 20 wt %,solution casting; ball-milling mixing,0374,Additional Content (2),semantic_unit,REFERENCES
LiTFSI,Lithium bis(trifluoromethanesulfonyl)imide,salt,50 wt %; 5 wt %; 20 wt %,solution casting; ball-milling mixing,0375,"References on Doping, Morphology, and Ion Transport in Electrolytes",semantic_unit,REFERENCES
LiTFSI,Lithium bis(trifluoromethanesulfonyl)imide,salt,50 wt %; 5 wt %; 20 wt %,solution casting; ball-milling mixing,0376,Background: Literature Review on Composite Electrolytes and Separators,semantic_unit,REFERENCES
LLTO,Li3xLa2/3-xTiO3,ceramic,,,0010,Background: Inorganic and Polymer Solid Electrolytes,semantic_unit,INTRODUCTION
LLTO,Li3xLa2/3-xTiO3,ceramic,,,0022,Research Gap: Limitations of Composite Electrolytes and Need for Mechanistic Understanding,semantic_unit,INTRODUCTION
LLTO,Li3xLa2/3-xTiO3,ceramic,,,0361,References on Battery Electrolytes,semantic_unit,REFERENCES
LLTO,Li3xLa2/3-xTiO3,ceramic,,,0362,Background: Advances in Lithium Battery Electrolytes,semantic_unit,REFERENCES
LLTO,Li3xLa2/3-xTiO3,ceramic,,,0363,Background: Advances in Lithium Battery Electrolytes,semantic_unit,REFERENCES
LLTO-PAN,Lithium lanthanum titanate-polyacrylonitrile,composite,15 wt % LLTO,,0023,Background on Composite Electrolytes,semantic_unit,INTRODUCTION
LLTO-PAN,Lithium lanthanum titanate-polyacrylonitrile,composite,15 wt % LLTO,,0024,Background on Composite Electrolytes,semantic_unit,INTRODUCTION
LLZO,"Li
7
La
3
Zr
2
O
12",ceramic,"<20 wt %; 20 wt %; 50 wt %; high content; <20 wt % LLZO; Li
 7
 La
 3
 Zr
 2
 O
 12; low content; 8.4:3.0:2.0:0.2 molar ratio of LiOH:La(NO3)3·6H2O:Zr(OC4H9)4:Al(NO3)3·9H2O, with 5.0 molar ratio of citric acid; 90:10 wt%; large LLZO content; 7:3:2:12; 5 wt %","hot pressing; ball-milling; sol-gel method, stirred at 80 °C overnight, dried at 200 °C for 2 h, sintered at 290 °C for 2 h and 900 °C for 8 h; ball-milling mixing; ball milling",0000,New Insights into the Compositional Dependence of Li-Ion Transport in Polymer-Ceramic Composite Electrolytes,section,New Insights into the Compositional Dependence of Li-Ion Transport in Polymer-Ceramic Composite Electrolytes
LLZO,"Li
7
La
3
Zr
2
O
12",ceramic,"<20 wt %; 20 wt %; 50 wt %; high content; <20 wt % LLZO; Li
 7
 La
 3
 Zr
 2
 O
 12; low content; 8.4:3.0:2.0:0.2 molar ratio of LiOH:La(NO3)3·6H2O:Zr(OC4H9)4:Al(NO3)3·9H2O, with 5.0 molar ratio of citric acid; 90:10 wt%; large LLZO content; 7:3:2:12; 5 wt %","hot pressing; ball-milling; sol-gel method, stirred at 80 °C overnight, dried at 200 °C for 2 h, sintered at 290 °C for 2 h and 900 °C for 8 h; ball-milling mixing; ball milling",0010,Background: Inorganic and Polymer Solid Electrolytes,semantic_unit,INTRODUCTION
LLZO,"Li
7
La
3
Zr
2
O
12",ceramic,"<20 wt %; 20 wt %; 50 wt %; high content; <20 wt % LLZO; Li
 7
 La
 3
 Zr
 2
 O
 12; low content; 8.4:3.0:2.0:0.2 molar ratio of LiOH:La(NO3)3·6H2O:Zr(OC4H9)4:Al(NO3)3·9H2O, with 5.0 molar ratio of citric acid; 90:10 wt%; large LLZO content; 7:3:2:12; 5 wt %","hot pressing; ball-milling; sol-gel method, stirred at 80 °C overnight, dried at 200 °C for 2 h, sintered at 290 °C for 2 h and 900 °C for 8 h; ball-milling mixing; ball milling",0022,Research Gap: Limitations of Composite Electrolytes and Need for Mechanistic Understanding,semantic_unit,INTRODUCTION
LLZO,"Li
7
La
3
Zr
2
O
12",ceramic,"<20 wt %; 20 wt %; 50 wt %; high content; <20 wt % LLZO; Li
 7
 La
 3
 Zr
 2
 O
 12; low content; 8.4:3.0:2.0:0.2 molar ratio of LiOH:La(NO3)3·6H2O:Zr(OC4H9)4:Al(NO3)3·9H2O, with 5.0 molar ratio of citric acid; 90:10 wt%; large LLZO content; 7:3:2:12; 5 wt %","hot pressing; ball-milling; sol-gel method, stirred at 80 °C overnight, dried at 200 °C for 2 h, sintered at 290 °C for 2 h and 900 °C for 8 h; ball-milling mixing; ball milling",0035,Publication Details,semantic_unit,INTRODUCTION
LLZO,"Li
7
La
3
Zr
2
O
12",ceramic,"<20 wt %; 20 wt %; 50 wt %; high content; <20 wt % LLZO; Li
 7
 La
 3
 Zr
 2
 O
 12; low content; 8.4:3.0:2.0:0.2 molar ratio of LiOH:La(NO3)3·6H2O:Zr(OC4H9)4:Al(NO3)3·9H2O, with 5.0 molar ratio of citric acid; 90:10 wt%; large LLZO content; 7:3:2:12; 5 wt %","hot pressing; ball-milling; sol-gel method, stirred at 80 °C overnight, dried at 200 °C for 2 h, sintered at 290 °C for 2 h and 900 °C for 8 h; ball-milling mixing; ball milling",0043,Journal and Figure Description,semantic_unit,INTRODUCTION
LLZO,"Li
7
La
3
Zr
2
O
12",ceramic,"<20 wt %; 20 wt %; 50 wt %; high content; <20 wt % LLZO; Li
 7
 La
 3
 Zr
 2
 O
 12; low content; 8.4:3.0:2.0:0.2 molar ratio of LiOH:La(NO3)3·6H2O:Zr(OC4H9)4:Al(NO3)3·9H2O, with 5.0 molar ratio of citric acid; 90:10 wt%; large LLZO content; 7:3:2:12; 5 wt %","hot pressing; ball-milling; sol-gel method, stirred at 80 °C overnight, dried at 200 °C for 2 h, sintered at 290 °C for 2 h and 900 °C for 8 h; ball-milling mixing; ball milling",0051,Contribution: Identifying Li-ion Transport Pathways Using Solid-State NMR,semantic_unit,INTRODUCTION
LLZO,"Li
7
La
3
Zr
2
O
12",ceramic,"<20 wt %; 20 wt %; 50 wt %; high content; <20 wt % LLZO; Li
 7
 La
 3
 Zr
 2
 O
 12; low content; 8.4:3.0:2.0:0.2 molar ratio of LiOH:La(NO3)3·6H2O:Zr(OC4H9)4:Al(NO3)3·9H2O, with 5.0 molar ratio of citric acid; 90:10 wt%; large LLZO content; 7:3:2:12; 5 wt %","hot pressing; ball-milling; sol-gel method, stirred at 80 °C overnight, dried at 200 °C for 2 h, sintered at 290 °C for 2 h and 900 °C for 8 h; ball-milling mixing; ball milling",0060,Synthesis of Cubic-Li7La3Zr2O12 (LLZO),semantic_unit,EXPERIMENTAL SECTION
LLZO,"Li
7
La
3
Zr
2
O
12",ceramic,"<20 wt %; 20 wt %; 50 wt %; high content; <20 wt % LLZO; Li
 7
 La
 3
 Zr
 2
 O
 12; low content; 8.4:3.0:2.0:0.2 molar ratio of LiOH:La(NO3)3·6H2O:Zr(OC4H9)4:Al(NO3)3·9H2O, with 5.0 molar ratio of citric acid; 90:10 wt%; large LLZO content; 7:3:2:12; 5 wt %","hot pressing; ball-milling; sol-gel method, stirred at 80 °C overnight, dried at 200 °C for 2 h, sintered at 290 °C for 2 h and 900 °C for 8 h; ball-milling mixing; ball milling",0070,Preparation of Composite Films,semantic_unit,EXPERIMENTAL SECTION
LLZO,"Li
7
La
3
Zr
2
O
12",ceramic,"<20 wt %; 20 wt %; 50 wt %; high content; <20 wt % LLZO; Li
 7
 La
 3
 Zr
 2
 O
 12; low content; 8.4:3.0:2.0:0.2 molar ratio of LiOH:La(NO3)3·6H2O:Zr(OC4H9)4:Al(NO3)3·9H2O, with 5.0 molar ratio of citric acid; 90:10 wt%; large LLZO content; 7:3:2:12; 5 wt %","hot pressing; ball-milling; sol-gel method, stirred at 80 °C overnight, dried at 200 °C for 2 h, sintered at 290 °C for 2 h and 900 °C for 8 h; ball-milling mixing; ball milling",0071,Preparation of Composite Films,semantic_unit,EXPERIMENTAL SECTION
LLZO,"Li
7
La
3
Zr
2
O
12",ceramic,"<20 wt %; 20 wt %; 50 wt %; high content; <20 wt % LLZO; Li
 7
 La
 3
 Zr
 2
 O
 12; low content; 8.4:3.0:2.0:0.2 molar ratio of LiOH:La(NO3)3·6H2O:Zr(OC4H9)4:Al(NO3)3·9H2O, with 5.0 molar ratio of citric acid; 90:10 wt%; large LLZO content; 7:3:2:12; 5 wt %","hot pressing; ball-milling; sol-gel method, stirred at 80 °C overnight, dried at 200 °C for 2 h, sintered at 290 °C for 2 h and 900 °C for 8 h; ball-milling mixing; ball milling",0072,Preparation of Composite Films,semantic_unit,EXPERIMENTAL SECTION
LLZO,"Li
7
La
3
Zr
2
O
12",ceramic,"<20 wt %; 20 wt %; 50 wt %; high content; <20 wt % LLZO; Li
 7
 La
 3
 Zr
 2
 O
 12; low content; 8.4:3.0:2.0:0.2 molar ratio of LiOH:La(NO3)3·6H2O:Zr(OC4H9)4:Al(NO3)3·9H2O, with 5.0 molar ratio of citric acid; 90:10 wt%; large LLZO content; 7:3:2:12; 5 wt %","hot pressing; ball-milling; sol-gel method, stirred at 80 °C overnight, dried at 200 °C for 2 h, sintered at 290 °C for 2 h and 900 °C for 8 h; ball-milling mixing; ball milling",0082,Electrochemical Measurements,semantic_unit,EXPERIMENTAL SECTION
LLZO,"Li
7
La
3
Zr
2
O
12",ceramic,"<20 wt %; 20 wt %; 50 wt %; high content; <20 wt % LLZO; Li
 7
 La
 3
 Zr
 2
 O
 12; low content; 8.4:3.0:2.0:0.2 molar ratio of LiOH:La(NO3)3·6H2O:Zr(OC4H9)4:Al(NO3)3·9H2O, with 5.0 molar ratio of citric acid; 90:10 wt%; large LLZO content; 7:3:2:12; 5 wt %","hot pressing; ball-milling; sol-gel method, stirred at 80 °C overnight, dried at 200 °C for 2 h, sintered at 290 °C for 2 h and 900 °C for 8 h; ball-milling mixing; ball milling",0113,NMR Characterization of Li-ion Environments and Mobility,semantic_unit,RESULTS AND DISCUSSION
LLZO,"Li
7
La
3
Zr
2
O
12",ceramic,"<20 wt %; 20 wt %; 50 wt %; high content; <20 wt % LLZO; Li
 7
 La
 3
 Zr
 2
 O
 12; low content; 8.4:3.0:2.0:0.2 molar ratio of LiOH:La(NO3)3·6H2O:Zr(OC4H9)4:Al(NO3)3·9H2O, with 5.0 molar ratio of citric acid; 90:10 wt%; large LLZO content; 7:3:2:12; 5 wt %","hot pressing; ball-milling; sol-gel method, stirred at 80 °C overnight, dried at 200 °C for 2 h, sintered at 290 °C for 2 h and 900 °C for 8 h; ball-milling mixing; ball milling",0114,Materials and Sample Preparation,semantic_unit,RESULTS AND DISCUSSION
LLZO,"Li
7
La
3
Zr
2
O
12",ceramic,"<20 wt %; 20 wt %; 50 wt %; high content; <20 wt % LLZO; Li
 7
 La
 3
 Zr
 2
 O
 12; low content; 8.4:3.0:2.0:0.2 molar ratio of LiOH:La(NO3)3·6H2O:Zr(OC4H9)4:Al(NO3)3·9H2O, with 5.0 molar ratio of citric acid; 90:10 wt%; large LLZO content; 7:3:2:12; 5 wt %","hot pressing; ball-milling; sol-gel method, stirred at 80 °C overnight, dried at 200 °C for 2 h, sintered at 290 °C for 2 h and 900 °C for 8 h; ball-milling mixing; ball milling",0115,Materials and Sample Compositions,semantic_unit,RESULTS AND DISCUSSION
LLZO,"Li
7
La
3
Zr
2
O
12",ceramic,"<20 wt %; 20 wt %; 50 wt %; high content; <20 wt % LLZO; Li
 7
 La
 3
 Zr
 2
 O
 12; low content; 8.4:3.0:2.0:0.2 molar ratio of LiOH:La(NO3)3·6H2O:Zr(OC4H9)4:Al(NO3)3·9H2O, with 5.0 molar ratio of citric acid; 90:10 wt%; large LLZO content; 7:3:2:12; 5 wt %","hot pressing; ball-milling; sol-gel method, stirred at 80 °C overnight, dried at 200 °C for 2 h, sintered at 290 °C for 2 h and 900 °C for 8 h; ball-milling mixing; ball milling",0124,Experimental Data Presentation,semantic_unit,RESULTS AND DISCUSSION
LLZO,"Li
7
La
3
Zr
2
O
12",ceramic,"<20 wt %; 20 wt %; 50 wt %; high content; <20 wt % LLZO; Li
 7
 La
 3
 Zr
 2
 O
 12; low content; 8.4:3.0:2.0:0.2 molar ratio of LiOH:La(NO3)3·6H2O:Zr(OC4H9)4:Al(NO3)3·9H2O, with 5.0 molar ratio of citric acid; 90:10 wt%; large LLZO content; 7:3:2:12; 5 wt %","hot pressing; ball-milling; sol-gel method, stirred at 80 °C overnight, dried at 200 °C for 2 h, sintered at 290 °C for 2 h and 900 °C for 8 h; ball-milling mixing; ball milling",0133,Discussion of Ionic Conductivity,semantic_unit,RESULTS AND DISCUSSION
